Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,DRX,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,DRX,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,DRX,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,DRX,breach,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,DRX,neon,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Sentinels,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Sentinels,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Sentinels,breach,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Sentinels,fade,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Sentinels,neon,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Trace Esports,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Trace Esports,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Trace Esports,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Trace Esports,raze,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,Trace Esports,breach,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,neon,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,EDward Gaming,kayo,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,DRX,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,DRX,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,DRX,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,DRX,breach,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,DRX,jett,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,Sentinels,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,Sentinels,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,Sentinels,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,Sentinels,breach,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,Sentinels,neon,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,Trace Esports,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,Trace Esports,raze,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,Trace Esports,brimstone,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,Trace Esports,skye,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,Trace Esports,deadlock,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,EDward Gaming,viper,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,EDward Gaming,raze,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,EDward Gaming,fade,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,EDward Gaming,gekko,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,EDward Gaming,brimstone,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,G2 Esports,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,G2 Esports,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,G2 Esports,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,G2 Esports,gekko,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,G2 Esports,harbor,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,LEVIATÁN,viper,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,LEVIATÁN,killjoy,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,LEVIATÁN,jett,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,LEVIATÁN,harbor,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,astra,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,yoru,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,LEVIATÁN,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,LEVIATÁN,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,LEVIATÁN,jett,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,LEVIATÁN,harbor,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,Team Heretics,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,Team Heretics,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,Team Heretics,jett,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,Team Heretics,astra,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,Team Heretics,gekko,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,FNATIC,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,FNATIC,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,FNATIC,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,FNATIC,astra,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,FNATIC,yoru,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,Team Heretics,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,Team Heretics,viper,1,0,1
